column,depth_r2,series_eta2,detection,mean_expr,arm,gene
1362,0.0163278060512108,0.7157874914856547,0.2241318835496317,0.5867272559263742,centrality_only,ACTL6B
4338,0.7792684237119468,0.8721917014341319,0.97977317900152,8.975214282072288,centrality_only,ACTR1B
4213,0.7786814050188763,0.8474473409928791,0.9753302934642816,8.404196409555844,centrality_only,ACTR8
11126,0.0010935471554495099,0.5279328762236577,0.1322343037530691,0.26818516543493287,centrality_only,ADAD1
1065,0.0014337622883912058,0.5625232542938949,0.16111305974511866,0.3582954306386722,centrality_only,ADAM7
10361,0.528770871732571,0.879540135890608,0.8593475973342687,4.758323768990703,centrality_only,ADAMTS13
13239,0.010480710262982923,0.745967763206323,0.4301414708289489,1.4509589424136646,centrality_only,ADAMTS20
15237,0.28654547592276586,0.8192967808425543,0.9175727814801824,4.537704735516972,centrality_only,ADAP2
18469,0.006264060157745058,0.712912325224124,0.15070735414474454,0.330312906922227,centrality_only,ADARB2-AS1
926,0.7859475148736473,0.8364727147425653,0.9805916052846955,8.238034817791398,centrality_only,ADAT1
13234,0.6630394920259732,0.8734084642098638,0.8858879925172454,5.105997468774867,centrality_only,ADCK5
10533,0.4922217658663791,0.8497084689981611,0.9012042558166725,5.143196020044947,centrality_only,ADCY10P1
1734,0.8087067887314623,0.8790571571239197,0.9904127206828014,11.226430580363168,centrality_only,ADD1
34289,0.011342373311480943,0.70465778790676,0.15234420671109553,0.39300564922088355,centrality_only,ADGRA1-AS1
13539,0.04937200252649599,0.8739436590930199,0.437624225417982,1.6329693253327708,centrality_only,ADGRE1
5873,0.2260931796927655,0.8431716738502577,0.9359289138314042,4.576794881688549,centrality_only,ADGRE2
6364,0.029498368358432912,0.8881524093030693,0.2886706418800421,1.0702218706114701,centrality_only,ADGRE3
11162,0.13336787931962074,0.8579203334864232,0.9648076698234538,5.30858618731138,centrality_only,ADGRV1
10223,0.7549206135308821,0.8556040312086819,0.9815269496083245,8.763573391945142,centrality_only,ADPGK
1185,0.7403878677170992,0.8755085591560423,0.9860867531860166,10.722626040598726,centrality_only,AFF4
21328,0.7036193411472531,0.8340750152855378,0.9727580965743015,7.161584504289292,centrality_only,AFG3L1P
1466,0.023213871631088744,0.8820833777546737,0.13843095989711213,0.4825663077654259,centrality_only,AFM
4942,0.7688415342343099,0.8409675761211521,0.9782532444756226,8.412527534204324,centrality_only,AFTPH
13137,0.6018074195832607,0.852296035866734,0.8591137612533614,5.512425536051781,centrality_only,AGAP5
13358,0.7691963216399066,0.8578815512671248,0.98105927744651,9.84835377109409,centrality_only,AGFG1
5738,0.6869195151312197,0.821744333701079,0.9853852449432947,8.973181737287414,centrality_only,AGO3
379,0.7730702572074618,0.8572000193643395,0.9837483923769438,9.49634887917647,centrality_only,AGPS
4167,0.021658057183142704,0.7996103685824124,0.20624342336022447,0.6127595404052154,centrality_only,AGXT2
9531,0.7443137844225353,0.8516048801819784,0.9814100315678709,9.553580330559123,centrality_only,AHCTF1
24922,0.30672749613016737,0.8236606588325747,0.9347597334268678,4.446643639778821,centrality_only,AHI1-DT
24473,0.05806231769191935,0.793261455610814,0.32947503799836314,0.9073011285865933,centrality_only,AIDAP1
31218,0.053981112195795246,0.8780679814189344,0.18835496317081726,0.5338122041883573,centrality_only,AIG1P1
11078,0.694958515307685,0.7997258359113062,0.9836314743364901,9.403710554931981,centrality_only,AIMP1
3542,0.7795022075703868,0.8339494020236597,0.98105927744651,8.387696949429056,centrality_only,AKAP10
26505,0.00017033603036107053,0.42374523572811157,0.041272068280135625,0.08694092683536775,centrality_only,AKAP8P1
17183,0.07236756399291944,0.8141851036719152,0.4262831754939787,1.0782812591130366,centrality_only,AKR1C4
19063,0.3184398568272732,0.762319764015248,0.9042441248684672,3.524323389946362,centrality_only,AKR7L
23868,0.05072388545934927,0.7694737832172096,0.5053197708406407,1.32575296591865,centrality_only,AKT3-IT1
30665,0.12868122148451325,0.8457922753983979,0.46124166958961765,1.8906836544967012,centrality_only,ALDH1L1-AS2
4797,0.28557224159122263,0.7881117268349027,0.8906816321758447,3.4544707576559257,centrality_only,ALDH8A1
7278,0.19389987032149192,0.8453090933659019,0.7989009704197357,3.0396357814596366,centrality_only,ALDOB
1706,0.7609527276263967,0.8382549403971586,0.9801239331228808,8.257332616377528,centrality_only,ALG9
4510,0.6272757891179455,0.8676745750991496,0.9800070150824273,8.545837187842292,centrality_only,ALMS1
37122,0.14219329072057735,0.787789687041943,0.8257921197240734,3.0716676373349623,centrality_only,ALOX12P2
16126,0.0007662495227862942,0.4636876499071734,0.09388518648427452,0.18962708692250718,centrality_only,ALOX15P2
1220,0.5299415364624894,0.8348272998547661,0.9759148836665498,6.986068802689386,centrality_only,ALPK1
37,0.7350397213661582,0.8600287022936899,0.9846837367005729,9.630431880229512,centrality_only,ALS2
11495,0.10123068037503535,0.7943541508926348,0.7826493627966795,2.661498519310293,centrality_only,AMER2
8463,0.7596980173698245,0.8698619566558968,0.9784870805565299,8.414199000448564,centrality_only,AMMECR1L
9519,0.7404587087156161,0.8544198060980738,0.9790716707587981,9.021141390918668,centrality_only,ANAPC1
715,0.7866607170938181,0.8360165467629861,0.9776686542733544,8.131180052978594,centrality_only,ANAPC4
16580,0.7824095857223712,0.8337677960850609,0.9825792119724074,8.984526618647878,centrality_only,ANAPC7
13503,0.7600056379649338,0.812812969340121,0.9819946217701392,8.44888677569728,centrality_only,ANGEL2
