gene,in_variance_set,in_centrality_set,in_kegg_set,n_sources,variance,variance_rank,in_degree,centrality_rank,kegg_pathway
ATP10A,True,False,False,1,9.556430096125975,3187,,,
ATP11A,True,False,False,1,8.805651533798272,4110,,,
ATP11B,False,True,False,1,,,467,1663,
ATP12A,False,True,False,1,,,297,3952,
ATP13A1,True,True,False,2,11.545148438254916,1647,648,800,
ATP13A2,True,False,False,1,11.825322676917912,1497,,,
ATP13A3,True,False,False,1,8.995500572467487,3863,,,
ATP1A1,True,False,False,1,11.12443188013264,1920,,,
ATP1A2,True,False,False,1,22.915626646036444,108,,,
ATP1A3,True,False,False,1,17.183070719957286,317,,,
ATP1B2,True,False,False,1,13.996542792474632,803,,,
ATP23,False,True,False,1,,,322,3433,
ATP2A1,False,False,True,1,,,,,both
ATP2A2,True,False,True,2,11.14500182412476,1905,,,both
ATP2A3,True,False,True,2,10.943832571202002,2027,,,both
ATP2C1,False,True,False,1,,,289,4144,
ATP5F1B,True,False,False,1,8.505740252449886,4564,,,
ATP5F1D,True,False,False,1,8.295190115264043,4908,,,
