gene,n_items,pct_of_items
AGPAT1,1931,7.16
RPS18,1904,7.06
FAP,1479,5.48
ADH1B,1137,4.22
CEMIP,1007,3.73
ICA1,1004,3.72
PDE1C,913,3.38
LMNB1,905,3.36
THBS2,895,3.32
PTPRK,864,3.2
MIF,861,3.19
HMGA2,854,3.17
TSEN34,847,3.14
GREM1,781,2.9
NOMO1,767,2.84
HSPB1,762,2.83
SRPX,757,2.81
CCL11,755,2.8
FCGR3B,740,2.74
BASP1,723,2.68
IL1B,720,2.67
VPS52,720,2.67
CHCHD2,717,2.66
LEP,698,2.59
RPS17,692,2.57
PTGDS,691,2.56
ITGBL1,689,2.55
COL14A1,651,2.41
TYMS,646,2.4
NUSAP1,637,2.36
CLIC4,623,2.31
CCDC80,615,2.28
CCDC175,614,2.28
DCN,602,2.23
CES1,581,2.15
DSP,548,2.03
C1R,547,2.03
CD3E,531,1.97
HLA-DRB1,529,1.96
GSTP1,525,1.95
NCF1,521,1.93
TBC1D3C,511,1.89
PAPPA,509,1.89
HSPA1B,498,1.85
FCN1,492,1.82
C1QA,492,1.82
FMOD,488,1.81
ASB15,479,1.78
SNCA,476,1.76
SMURF1,472,1.75
ACADVL,471,1.75
HSPB2-C11ORF52,454,1.68
PPT2,449,1.66
NCAPG,443,1.64
LIF,443,1.64
SVEP1,442,1.64
TIMP3,440,1.63
ALDH1A3,432,1.6
ARHGAP15,428,1.59
JCHAIN,426,1.58
CD36,425,1.58
HLA-A,422,1.56
PRXL2A,419,1.55
HBB,414,1.53
CDH2,406,1.51
EEF2,394,1.46
LUM,385,1.43
SPARCL1,383,1.42
MGP,381,1.41
F13A1,378,1.4
FYB1,375,1.39
HSP90AA1,372,1.38
HLA-DRA,372,1.38
CHI3L1,365,1.35
PTPRC,365,1.35
ELN,363,1.35
DAPP1,363,1.35
CA12,360,1.33
MAPKAPK2,360,1.33
CALR,359,1.33
FCGR3A,353,1.31
ATP6V1G2-DDX39B,346,1.28
VASN,344,1.28
IL26,344,1.28
HMCN1,339,1.26
MDFI,338,1.25
RPL36A-HNRNPH2,336,1.25
CDK4,335,1.24
NCF4,333,1.23
CST2,333,1.23
ADM,332,1.23
DAG1,332,1.23
HBA2,331,1.23
POSTN,331,1.23
SERPINB2,328,1.22
NISCH,323,1.2
PF4V1,322,1.19
CYP2D6,321,1.19
DDR1,317,1.18
ACTA2,317,1.18
LSP1,316,1.17
MXRA5,315,1.17
RPS4Y2,305,1.13
CCDC85B,304,1.13
GNG5P2,301,1.12
HLA-C,301,1.12
SERPINA1,300,1.11
CD52,300,1.11
HLA-DPA1,299,1.11
TSPAN18,296,1.1
SERPINA9,296,1.1
CYBB,295,1.09
CLTB,292,1.08
CXCL8,291,1.08
MAML1,290,1.08
ALOX5,289,1.07
HLA-F,287,1.06
TP53TG3E,286,1.06
TMEM132A,283,1.05
ANKRD1,281,1.04
C3,280,1.04
GPNMB,276,1.02
MYO1G,276,1.02
AQP2,274,1.02
PPBP,273,1.01
CYP1B1,272,1.01
TFAP2A,269,1.0
SHCBP1,267,0.99
HBA1,266,0.99
PEBP1,265,0.98
TMC3,261,0.97
FGL2,261,0.97
IGFBP2,260,0.96
PINK1,260,0.96
LMAN1L,259,0.96
WDTC1,258,0.96
CHD7,257,0.95
SLC12A7,257,0.95
CCND1,255,0.95
TIMM22,254,0.94
MRPL45,252,0.93
RGS1,251,0.93
CD163,250,0.93
SORL1,248,0.92
COL6A3,248,0.92
PDGFRA,247,0.92
TPGS1,243,0.9
MAGI1,242,0.9
C1QB,242,0.9
COL18A1,241,0.89
CSAG1,239,0.89
TLE5,239,0.89
ITGAL,237,0.88
JUN,233,0.86
PSG5,231,0.86
NUDCD3,230,0.85
SHROOM2,226,0.84
DBNDD2,224,0.83
NPIPB8,224,0.83
FCGR2A,223,0.83
IL10RA,217,0.8
MGAM,217,0.8
PDE4B,215,0.8
AQP9,215,0.8
CFH,213,0.79
ITGAX,212,0.79
ILK,212,0.79
TSLP,212,0.79
CMYA5,211,0.78
MMP3,211,0.78
TC2N,211,0.78
GYPC,211,0.78
TTN,210,0.78
MS4A7,210,0.78
PDK4,209,0.77
CEBPZOS,209,0.77
TUBB,209,0.77
COMP,209,0.77
RSU1,207,0.77
RXFP1,207,0.77
RUNX1T1,206,0.76
RPL3,206,0.76
CD248,206,0.76
TGFBR2,205,0.76
SORBS3,204,0.76
ATP5F1B,202,0.75
CTSL,202,0.75
SELL,201,0.75
PTGS2,200,0.74
SLPI,200,0.74
EIF4G1,199,0.74
DEFA1B,198,0.73
IFITM10,197,0.73
MTHFS,197,0.73
TAF9B,195,0.72
TP53TG3D,194,0.72
ADIPOQ,193,0.72
RPS6,193,0.72
SMIM10L1,192,0.71
SORBS1,190,0.7
SLC2A3,188,0.7
SRY,188,0.7
LEF1,185,0.69
HSPG2,185,0.69
RPS3,185,0.69
ID1,182,0.67
HSPB6,181,0.67
LY6G6F,181,0.67
MYL9,181,0.67
PRR33,180,0.67
RCSD1,180,0.67
CXADR,180,0.67
PRF1,180,0.67
CGNL1,179,0.66
TGM2,178,0.66
SYNE2,178,0.66
HSPA1A,177,0.66
THY1,176,0.65
RAD17,176,0.65
PRKCB,176,0.65
HLA-B,175,0.65
PRUNE2,175,0.65
ADIRF,175,0.65
MAGEA2B,174,0.65
KBTBD12,174,0.65
SOST,173,0.64
EID1,172,0.64
CDK1,171,0.63
SAMD9L,170,0.63
CCL5,169,0.63
BIN2,169,0.63
DEFA3,168,0.62
TP53I3,168,0.62
CSK,168,0.62
SPDYE13,168,0.62
JAML,168,0.62
CDH1,168,0.62
ALPL,166,0.62
C7,166,0.62
GOT1,164,0.61
CD24,164,0.61
NACA2,164,0.61
OR4F17,164,0.61
APOE,164,0.61
FAM83H,164,0.61
C1QC,163,0.6
HK3,163,0.6
EPCAM,162,0.6
CXCL6,162,0.6
FBN2,161,0.6
ID4,161,0.6
NKG7,161,0.6
CSTA,161,0.6
C18ORF32,161,0.6
CAT,160,0.59
CST4,160,0.59
NELL2,159,0.59
SREBF2,159,0.59
FHL2,159,0.59
KRTAP1-5,158,0.59
EFNA1,158,0.59
S100A4,157,0.58
PLIN1,157,0.58
FDFT1,157,0.58
CD2,156,0.58
FKBP8,156,0.58
DENND1C,156,0.58
ACSM5,156,0.58
S100A8,156,0.58
SFRP4,156,0.58
FHL5,155,0.57
ITGB7,154,0.57
ANXA2,154,0.57
LAMA4,154,0.57
CXCL9,153,0.57
ERO1A,153,0.57
SLC4A2,152,0.56
MBP,150,0.56
FOXA1,149,0.55
STRBP,149,0.55
PRR3,148,0.55
SPOCK2,148,0.55
SLC7A2,148,0.55
DUSP29,147,0.55
SMIM42,147,0.55
ALPK3,147,0.55
RHOXF2,146,0.54
RNPS1,146,0.54
PTGS1,146,0.54
TBX3,146,0.54
VIPR1,146,0.54
H4C3,145,0.54
BAX,145,0.54
LRRC15,145,0.54
ARHGAP25,145,0.54
G3BP2,144,0.53
PALLD,144,0.53
MNDA,143,0.53
WFDC13,142,0.53
LRRC74B,142,0.53
AP1M2,142,0.53
EHF,140,0.52
AGR2,140,0.52
MRC2,140,0.52
COL5A3,140,0.52
CDKN1C,140,0.52
PDCD6-AHRR,140,0.52
CXCL1,139,0.52
ST6GAL1,139,0.52
TPSB2,139,0.52
CCL18,138,0.51
RRM2,138,0.51
TINAGL1,137,0.51
TNNI3,136,0.5
CCDC179,136,0.5
AMY1C,136,0.5
AADACL4,136,0.5
EFS,135,0.5
DEFA1,135,0.5
VIM,135,0.5
RPL27,135,0.5
SPRY1,135,0.5
DSC2,134,0.5
RAB34,134,0.5
FERMT2,133,0.49
C4ORF50,132,0.49
COMT,132,0.49
ARL17B,132,0.49
BHLHE40,131,0.49
CSF2RB,129,0.48
C1S,129,0.48
F9,129,0.48
GMPR2,129,0.48
REEP5,129,0.48
MPEG1,129,0.48
ATG9A,128,0.47
AOAH,128,0.47
TNFAIP2,127,0.47
QPRT,127,0.47
IL1RN,126,0.47
BDKRB1,126,0.47
SERPINE2,126,0.47
FNDC1,126,0.47
PTPN13,125,0.46
RNF167,125,0.46
CYTH4,125,0.46
LILRA1,125,0.46
RNF5,124,0.46
C4ORF48,124,0.46
CCL26,124,0.46
MGAM2,124,0.46
PF4,124,0.46
USO1,124,0.46
NES,124,0.46
MTUS1,123,0.46
H4C13,123,0.46
ACAN,123,0.46
FMO2,123,0.46
CSF3,121,0.45
CD14,121,0.45
LILRB2,120,0.44
CYP21A2,120,0.44
DEPDC1,120,0.44
NCR3,120,0.44
C2CD4A,120,0.44
DLGAP2,119,0.44
NOSIP,119,0.44
TRIM39-RPP21,119,0.44
INMT-MINDY4,119,0.44
ANXA3,119,0.44
ADH5,119,0.44
GCG,118,0.44
GPSM3,117,0.43
ITGA4,117,0.43
PKN1,117,0.43
CDK16,116,0.43
PLCB2,116,0.43
CD48,116,0.43
PRSS33,115,0.43
CAVIN1,115,0.43
MMRN1,115,0.43
FBLN5,115,0.43
COL12A1,114,0.42
MS4A6A,114,0.42
TOPBP1,114,0.42
ITGB3,113,0.42
PIK3CG,113,0.42
ITGB4,113,0.42
AARS1,113,0.42
TGFB2,113,0.42
MKI67,113,0.42
APOBR,113,0.42
SH2D1A,113,0.42
IGF2,112,0.42
FAM180B,112,0.42
KIAA0825,112,0.42
MYBL2,112,0.42
TLX1,112,0.42
INPPL1,111,0.41
PRRX1,111,0.41
S100A12,111,0.41
CARD11,110,0.41
GDF5,110,0.41
S100A14,110,0.41
MYOM3,109,0.4
SRM,109,0.4
HTR2A,109,0.4
ANXA10,108,0.4
KEAP1,108,0.4
HRH2,108,0.4
SMARCB1,108,0.4
KIF1A,108,0.4
SIT1,108,0.4
FRMD4B,108,0.4
RPEL1,107,0.4
SMARCD2,106,0.39
VARS1,106,0.39
MYH11,105,0.39
HLA-DQB1,105,0.39
KDM5B,104,0.39
ZFAND3,104,0.39
BCL2L1,104,0.39
SMC3,104,0.39
SLC1A5,103,0.38
DEFB103A,103,0.38
KLHDC7B,103,0.38
FAM153A,102,0.38
ATP10A,102,0.38
H3C15,101,0.37
TPD52L2,101,0.37
LCN10,100,0.37
MTA2,100,0.37
POTEF,100,0.37
FKBP4,100,0.37
RPL3L,99,0.37
CARS1,99,0.37
ATP6V1E1,99,0.37
KCNK15,99,0.37
MME,98,0.36
DAPK1,98,0.36
FAT1,98,0.36
GABBR1,98,0.36
DLGAP5,98,0.36
FASN,98,0.36
TIMMDC1,98,0.36
NPDC1,97,0.36
LPAR1,97,0.36
CACNA1H,97,0.36
TMUB1,97,0.36
SELE,97,0.36
SPI1,97,0.36
ATP2A3,97,0.36
CXCL12,96,0.36
ALOX5AP,96,0.36
CDK7,96,0.36
IER3,96,0.36
MAP2,96,0.36
DOK2,96,0.36
SPDYE17,95,0.35
RPS9,95,0.35
MB,95,0.35
STC1,95,0.35
SLC16A1,95,0.35
SERPINA3,95,0.35
CFHR5,94,0.35
ADH1A,94,0.35
AVP,94,0.35
PDGFRB,94,0.35
LAMA5,94,0.35
COL11A1,93,0.34
PKDCC,93,0.34
SLC8A1,93,0.34
FOS,93,0.34
DYNLRB2,93,0.34
ELF3,92,0.34
SLC35G3,92,0.34
PTPA,92,0.34
PRPF8,92,0.34
ZPLD1,92,0.34
LAMB2,92,0.34
NEFL,92,0.34
PTTG2,91,0.34
BEX3,91,0.34
SLCO1B1,91,0.34
HES1,91,0.34
LYPD8,90,0.33
PLEK,90,0.33
MDH2,89,0.33
KCNT1,89,0.33
CCL15-CCL14,89,0.33
PSMD9,88,0.33
PDLIM1,87,0.32
PTTG1,87,0.32
PCDH18,87,0.32
PRKACA,87,0.32
F13B,86,0.32
EDC4,86,0.32
CD28,86,0.32
ALPK2,86,0.32
LOXL2,86,0.32
MAT2A,85,0.32
TM4SF20,85,0.32
PARVG,85,0.32
PRSS12,85,0.32
CTSS,84,0.31
MCM7,84,0.31
ZNF248,84,0.31
IGF1,84,0.31
VCAM1,84,0.31
ARAF,84,0.31
FEZF2,84,0.31
L1CAM,84,0.31
PKP3,84,0.31
ANTKMT,83,0.31
H1-1,83,0.31
MAGEA2,83,0.31
PPIAL4D,83,0.31
DAXX,83,0.31
LCK,83,0.31
MFNG,82,0.3
ECSCR,82,0.3
ITGAM,82,0.3
RGS18,82,0.3
PLA2G15,82,0.3
DSC1,81,0.3
ABCC1,81,0.3
GPRC5A,81,0.3
SIM2,81,0.3
CDKN1A,81,0.3
AIF1L,81,0.3
HNRNPUL2-BSCL2,81,0.3
TCAF2C,80,0.3
GUCY1A1,80,0.3
SLC40A1,80,0.3
ETV1,80,0.3
IL16,80,0.3
MTPN,80,0.3
EEF1G,79,0.29
H3C4,79,0.29
PLA2G1B,79,0.29
PCDH7,79,0.29
SMG5,79,0.29
NDUFA1,79,0.29
INHBA,78,0.29
ICAM1,78,0.29
SLAMF7,78,0.29
SLIT3,78,0.29
ITM2A,77,0.29
PTPRD,77,0.29
CXCL3,77,0.29
IFI30,77,0.29
TAS2R30,77,0.29
EPB42,77,0.29
DMTN,77,0.29
HIF3A,76,0.28
TNFRSF21,76,0.28
GDF1,76,0.28
AZGP1,76,0.28
SULT1A3,76,0.28
AQP1,76,0.28
LTF,76,0.28
PPP2R1A,76,0.28
FKBP10,75,0.28
GIMAP5,75,0.28
SCGB1D2,75,0.28
TERT,75,0.28
CSF2,75,0.28
PPP1R16B,75,0.28
GATAD2B,75,0.28
VNN2,75,0.28
GUCA1C,74,0.27
ARHGEF2,74,0.27
IFNA1,74,0.27
GPS1,74,0.27
BAD,74,0.27
MSRA,74,0.27
SPEG,74,0.27
WDFY4,73,0.27
PDLIM3,73,0.27
HNRNPCL4,73,0.27
TNIP3,73,0.27
TMEM233,73,0.27
IGF2R,73,0.27
MYOC,72,0.27
CDSN,72,0.27
ARHGEF12,71,0.26
IGSF9B,71,0.26
SHC2,71,0.26
HOMER1,71,0.26
BMF,71,0.26
OXCT1,71,0.26
RWDD2B,71,0.26
GAGE12B,71,0.26
IGFBP5,71,0.26
TYMP,70,0.26
ACSL5,70,0.26
SLFN11,70,0.26
MAGEA6,70,0.26
DPYSL3,70,0.26
TBC1D3G,70,0.26
MFAP4,70,0.26
BCL2L13,70,0.26
LAMP1,70,0.26
ASPM,69,0.26
TRPM1,69,0.26
COL15A1,69,0.26
DPT,69,0.26
CFAP61,69,0.26
H2BK1,69,0.26
MEF2C,69,0.26
TPM1,69,0.26
TRIM22,68,0.25
ABCF1,68,0.25
MYBPC1,68,0.25
MBTPS1,68,0.25
IHO1,68,0.25
ADGRG7,68,0.25
TUBB1,68,0.25
TAS2R9,68,0.25
IL2RG,68,0.25
PRLH,68,0.25
MOG,67,0.25
LILRA6,67,0.25
PDLIM4,67,0.25
RING1,67,0.25
HEPH,67,0.25
PRRC2A,66,0.24
PKIG,66,0.24
CPLX3,66,0.24
NDUFA13,66,0.24
CFB,66,0.24
RPL26,66,0.24
IL24,66,0.24
HMOX1,65,0.24
RASAL3,65,0.24
CD300A,65,0.24
PRAMEF9,65,0.24
EIF3A,65,0.24
SULF1,65,0.24
KRT32,65,0.24
NPNT,65,0.24
CD53,65,0.24
MYO1F,65,0.24
MYL2,64,0.24
GFOD1,64,0.24
ECRG4,64,0.24
CHP1,64,0.24
PGA5,64,0.24
CHI3L2,64,0.24
PHGR1,64,0.24
ATP1A2,64,0.24
SYT7,64,0.24
VDAC2,64,0.24
H2AC18,63,0.23
PDX1,63,0.23
NFIX,63,0.23
HLA-DRB5,63,0.23
H4C11,63,0.23
OR2B3,63,0.23
SLC1A3,63,0.23
PSMB3,63,0.23
PLAT,63,0.23
PRG4,63,0.23
CCNL1,63,0.23
AOX1,62,0.23
SLC22A7,62,0.23
APOC4-APOC2,62,0.23
IER2,62,0.23
B3GALT6,62,0.23
TRPA1,62,0.23
KRT17,62,0.23
SBNO2,62,0.23
ETDC,62,0.23
ADAMTS12,62,0.23
APOL3,61,0.23
TYR,61,0.23
IDI2,61,0.23
TM4SF1,61,0.23
GRINA,61,0.23
MYRFL,61,0.23
BCL2L2,61,0.23
C20ORF202,61,0.23
TSPAN7,61,0.23
KRT19,60,0.22
STUB1,60,0.22
H2BC12L,60,0.22
ADGRG3,60,0.22
ECH1,60,0.22
IGFBP7,60,0.22
LTBP1,60,0.22
TNFRSF12A,60,0.22
ABCA1,60,0.22
PABPC3,60,0.22
IGF1R,60,0.22
SCRN1,59,0.22
LAGE3,59,0.22
PTPRCAP,59,0.22
SPANXN4,59,0.22
POU4F1,59,0.22
FRMPD4,59,0.22
PRAC1,59,0.22
CD151,59,0.22
NT5C,59,0.22
GABRE,59,0.22
IL7R,58,0.22
LGALS9,58,0.22
USP17L22,58,0.22
CMTR1,58,0.22
CCT7,58,0.22
KRT7,58,0.22
CCL3,58,0.22
IL13RA2,58,0.22
EEF1A2,58,0.22
PTGFRN,58,0.22
MINDY4B,57,0.21
PPP1R13B,57,0.21
TRHDE,57,0.21
POLR2A,57,0.21
DNAH2,57,0.21
ATP5F1C,57,0.21
S100A9,57,0.21
WIF1,57,0.21
PAF1,57,0.21
EMILIN1,56,0.21
OR10K1,56,0.21
CRIP2,56,0.21
TOP2A,56,0.21
DKK2,56,0.21
DEFB103B,56,0.21
FUT5,56,0.21
PFKL,56,0.21
PTPN22,56,0.21
DDX52,56,0.21
FHL1,56,0.21
ST14,56,0.21
MRAP,55,0.2
DHH,55,0.2
YAP1,55,0.2
PLCG2,55,0.2
TBC1D3F,55,0.2
TPX2,55,0.2
GFRA1,55,0.2
MXRA8,55,0.2
DGKG,55,0.2
CD4,55,0.2
GCOM1,54,0.2
TNNI2,54,0.2
VCAN,54,0.2
RBFOX2,54,0.2
RNF19B,54,0.2
SBK2,54,0.2
RIPOR2,54,0.2
DND1,54,0.2
SFN,54,0.2
CYTIP,54,0.2
CANX,54,0.2
FTH1,53,0.2
TSPYL6,53,0.2
NEBL,53,0.2
CCL23,53,0.2
PGA4,53,0.2
ABCA8,53,0.2
COL8A1,53,0.2
LILRB5,53,0.2
GJD2,52,0.19
GPR142,52,0.19
CPNE6,52,0.19
TMEM176B,52,0.19
TAP1,52,0.19
MDK,52,0.19
RXFP3,52,0.19
OR8J2,52,0.19
FLNC,52,0.19
VWF,52,0.19
HAS1,52,0.19
TIMP1,52,0.19
HSPA4,52,0.19
MAL2,52,0.19
ADAMTS9,52,0.19
PARP10,51,0.19
CDH19,51,0.19
GRIN1,51,0.19
FGD3,51,0.19
IRS2,51,0.19
PCDH10,51,0.19
GJA8,51,0.19
DTL,51,0.19
UBE2C,51,0.19
RETN,51,0.19
CLDN1,51,0.19
AMELX,51,0.19
NLRP10,51,0.19
SERPINF2,50,0.19
N4BP3,50,0.19
MYH1,50,0.19
SPINK1,50,0.19
SDC2,50,0.19
SEBOX,50,0.19
IP6K3,50,0.19
MYCBP2,50,0.19
CCN5,50,0.19
GPR20,50,0.19
HSPA8,50,0.19
OR51B6,50,0.19
DHFR,50,0.19
YBX3,50,0.19
CER1,49,0.18
TREM1,49,0.18
CCL2,49,0.18
RSAD2,49,0.18
IGFBP3,49,0.18
ZNF511-PRAP1,49,0.18
EDIL3,49,0.18
HNRNPCL1,49,0.18
AHNAK2,49,0.18
LAMC2,49,0.18
PTPRF,49,0.18
TPD52,49,0.18
CELF2,49,0.18
RLBP1,48,0.18
TRARG1,48,0.18
BST2,48,0.18
KRTAP2-2,48,0.18
ATF6B,48,0.18
DST,48,0.18
SLC1A4,48,0.18
FPR1,48,0.18
FAM163A,48,0.18
CCL7,48,0.18
ESR1,48,0.18
SNRPD3,47,0.17
CSAG3,47,0.17
EIF3C,47,0.17
CRYZ,47,0.17
H1-6,47,0.17
MTLN,47,0.17
PGAM4,47,0.17
ARMH2,47,0.17
IGF2BP3,47,0.17
DNAJC15,47,0.17
MGAT2,47,0.17
ATP1B4,47,0.17
P3R3URF,47,0.17
SLC38A8,47,0.17
GPANK1,47,0.17
LRP3,47,0.17
IL1R1,47,0.17
ESRP1,47,0.17
GPRIN3,47,0.17
AFAP1L1,46,0.17
C6,46,0.17
TP53TG3F,46,0.17
DLST,46,0.17
BSG,46,0.17
SPDYE8,46,0.17
LDHC,46,0.17
NFE2L1,46,0.17
SPDYE15,46,0.17
FGFR3,46,0.17
KIF13A,46,0.17
SOD3,46,0.17
AADACL2,46,0.17
CHMP4B,46,0.17
CRYAB,46,0.17
HGF,45,0.17
H2AC15,45,0.17
SMLR1,45,0.17
ITLN1,45,0.17
PCDH11Y,45,0.17
SIPA1L2,45,0.17
MAST2,45,0.17
RASGRP2,45,0.17
TPSD1,45,0.17
DES,45,0.17
LY6L,45,0.17
AHSP,45,0.17
FAM50A,45,0.17
GNA15,45,0.17
TRIM39,44,0.16
AQP12A,44,0.16
HCLS1,44,0.16
MAS1L,44,0.16
HLA-DMA,44,0.16
FGF23,44,0.16
UBR7,44,0.16
LSM2,44,0.16
PTTG1IP2,44,0.16
LCE2A,44,0.16
PSG2,44,0.16
PRKAA1,44,0.16
RAB27B,44,0.16
CCL4L2,44,0.16
CAVIN3,43,0.16
FAM240B,43,0.16
PIK3R5,43,0.16
CCL14,43,0.16
CCR1,43,0.16
LCNL1,43,0.16
COG4,43,0.16
LCN2,43,0.16
GPX3,43,0.16
PAFAH1B3,43,0.16
SPP1,43,0.16
KRT14,43,0.16
FGF17,42,0.16
AHSG,42,0.16
CAV1,42,0.16
CSN1S1,42,0.16
ITPR2,42,0.16
ABCB1,42,0.16
F11R,42,0.16
FOXB2,42,0.16
OR13A1,42,0.16
PPP1R10,42,0.16
MAP2K4,42,0.16
TGFBI,42,0.16
HLA-DQA2,42,0.16
DEFA6,42,0.16
UPK3BL2,42,0.16
RASSF2,42,0.16
RFX5,42,0.16
SFRP1,42,0.16
NFASC,42,0.16
VSIG4,42,0.16
SPACA5,42,0.16
TSPAN8,41,0.15
WNT9B,41,0.15
WNT5A,41,0.15
CSPG4,41,0.15
LYPLA1,41,0.15
OR2A42,41,0.15
RPS10-NUDT3,41,0.15
IKZF1,40,0.15
PSAP,40,0.15
SLC14A1,40,0.15
H3C11,40,0.15
MYH6,40,0.15
OR9A1P,40,0.15
TBC1D3K,40,0.15
FAM166A,40,0.15
CASP1,40,0.15
CCDC110,40,0.15
ANO3,40,0.15
NEUROD2,40,0.15
COL4A4,40,0.15
SPAG11A,40,0.15
MAGEB3,39,0.14
NOTCH4,39,0.14
LAMB3,39,0.14
DEFB136,39,0.14
FAM236D,39,0.14
RBMY1A1,39,0.14
XG,39,0.14
TMEM50B,39,0.14
DUSP5,39,0.14
KRT222,38,0.14
MOAP1,38,0.14
OSCAR,38,0.14
C4ORF54,38,0.14
VEGFA,38,0.14
FSD1,38,0.14
GSN,38,0.14
VSX2,38,0.14
PLXNA2,38,0.14
MICAL2,38,0.14
BRD2,38,0.14
SHISAL2B,38,0.14
CCK,38,0.14
PLP2,38,0.14
PLAGL1,38,0.14
SERPINH1,38,0.14
MMP15,38,0.14
TMEM98,38,0.14
TUG1,38,0.14
LDB2,38,0.14
PRR23A,38,0.14
TNFRSF14,37,0.14
PRPF31,37,0.14
TNR,37,0.14
NR2F2,37,0.14
URGCP-MRPS24,37,0.14
GANAB,37,0.14
THBD,37,0.14
FGR,37,0.14
CCN2,37,0.14
HMX1,37,0.14
FAM240C,37,0.14
FAM111A,37,0.14
TMEM119,37,0.14
LILRB3,37,0.14
VCY1B,37,0.14
RORC,37,0.14
CPHXL2,37,0.14
HRURF,37,0.14
GUCA1ANB,37,0.14
SRGN,37,0.14
SEPTIN9,37,0.14
GIMAP7,36,0.13
SAMSN1,36,0.13
SLC38A1,36,0.13
MYH2,36,0.13
UGT2B4,36,0.13
C11ORF21,36,0.13
RPSA,36,0.13
FXYD6,36,0.13
SAMD9,36,0.13
MRPL14,36,0.13
RANBP3L,36,0.13
BIN1,36,0.13
H2AC6,36,0.13
LILRA4,36,0.13
FAM236C,36,0.13
SLC1A7,36,0.13
KLHL23,36,0.13
ARL5A,36,0.13
CSF1R,36,0.13
MCM3,36,0.13
GPR183,36,0.13
FRAS1,36,0.13
EP300,35,0.13
ABCB5,35,0.13
KLF9,35,0.13
ACTBL2,35,0.13
SPANXA2,35,0.13
IL36B,35,0.13
OR2T33,35,0.13
UBC,35,0.13
TUBA4A,35,0.13
PPM1N,35,0.13
HSP90AB1,35,0.13
OR5K1,35,0.13
TDGF1P3,35,0.13
ECI1,35,0.13
CACNB4,35,0.13
SMAD3,35,0.13
DUSP3,35,0.13
TUBA3D,35,0.13
AMELY,35,0.13
EGFR,35,0.13
RPS16,34,0.13
MFRP,34,0.13
MSRB3,34,0.13
ANKRD2,34,0.13
RYR1,34,0.13
CA2,34,0.13
TUBB2B,34,0.13
SLC35G5,34,0.13
CCT8L2,34,0.13
VAV1,34,0.13
IGFBP6,34,0.13
TFAP2D,34,0.13
GOLGA8G,34,0.13
CIAO3,34,0.13
OR2C3,34,0.13
CTXN3,34,0.13
MSANTD3-TMEFF1,34,0.13
ITGAV,34,0.13
BAMBI,34,0.13
ENDOG,34,0.13
BANF1,34,0.13
MYH15,34,0.13
PRELP,34,0.13
BCAM,34,0.13
TBC1D3E,34,0.13
CA3,33,0.12
LCP1,33,0.12
ISLR,33,0.12
RGS4,33,0.12
TRIM31,33,0.12
PPDPF,33,0.12
NPAS2,33,0.12
CCDC201,33,0.12
CTAGE9,33,0.12
HPGDS,33,0.12
KRT33B,33,0.12
BARHL2,33,0.12
RCN3,33,0.12
ADGRF5,33,0.12
SBK3,33,0.12
KLRC3,33,0.12
SLC24A2,33,0.12
DPEP2NB,33,0.12
CLEC12A,33,0.12
MT1B,33,0.12
KRTAP4-12,33,0.12
MYOM2,33,0.12
RBP1,33,0.12
ERICH3,33,0.12
ALDH2,33,0.12
MYO15B,33,0.12
GALNT5,33,0.12
TP53TG3B,33,0.12
NDN,33,0.12
MAB21L1,33,0.12
TNFRSF8,32,0.12
PIN1,32,0.12
FOXD3,32,0.12
GBP5,32,0.12
COX8C,32,0.12
SUMF1,32,0.12
KRT33A,32,0.12
EPHA5,32,0.12
PKHD1L1,32,0.12
CBX2,32,0.12
NFATC4,32,0.12
KRT20,32,0.12
LAMA3,32,0.12
TMC5,32,0.12
ZYX,32,0.12
DCD,32,0.12
KRT8,32,0.12
LTBP2,32,0.12
LY6G6F-LY6G6D,32,0.12
ZC4H2,32,0.12
WFDC8,32,0.12
MALL,32,0.12
SULF2,31,0.11
UPK3B,31,0.11
PECAM1,31,0.11
RPS4X,31,0.11
BAG6,31,0.11
LEUTX,31,0.11
LAP3,31,0.11
CYP26B1,31,0.11
TMEM247,31,0.11
KRT86,31,0.11
OR2A1,31,0.11
TBC1D3,31,0.11
PAM,31,0.11
CHRNA1,31,0.11
SMCO3,31,0.11
ARHGAP9,31,0.11
BMP10,31,0.11
PRKCSH,31,0.11
OR2A14,31,0.11
TBX4,31,0.11
AMTN,31,0.11
C1QTNF9,31,0.11
UCP2,31,0.11
PLG,31,0.11
ARMS2,31,0.11
LINC02210-CRHR1,31,0.11
UQCRQ,31,0.11
ZNF704,30,0.11
PERM1,30,0.11
ADAT3,30,0.11
ZNF385B,30,0.11
ERG,30,0.11
LMO7,30,0.11
MRPS18B,30,0.11
ARID5B,30,0.11
IFI6,30,0.11
LMNA,30,0.11
SH3KBP1,30,0.11
POTEE,30,0.11
LPL,30,0.11
TSC22D3,30,0.11
PNOC,30,0.11
CDH4,30,0.11
RAD50,30,0.11
TEX55,30,0.11
PLA2G2D,30,0.11
HNRNPH3,30,0.11
FAM25A,30,0.11
A2M,30,0.11
SLAMF1,30,0.11
STRIT1,30,0.11
TMEM130,30,0.11
DDOST,30,0.11
ISY1-RAB43,30,0.11
SPRY4,30,0.11
MSGN1,29,0.11
SLC5A11,29,0.11
NDUFV2,29,0.11
