gene,in_variance_set,in_centrality_set,in_kegg_set,n_sources,variance_rank,centrality_rank,ensg_ids,biotype
GUCY2GP,False,True,False,1,,1373.0,ENSG00000243316,TRANSCRIBED_UNITARY_PSEUDOGENE
GUSBP1,False,True,False,1,,1650.0,ENSG00000183666,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
GUSBP11,True,True,False,2,2284.0,891.0,ENSG00000228315,LNCRNA
GUSBP14,True,False,False,1,4160.0,,ENSG00000253816,UNPROCESSED_PSEUDOGENE
GVINP1,True,False,False,1,4722.0,,ENSG00000254838,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
H19,True,False,False,1,37.0,,"ENSG00000130600,ENSG00000288237",LNCRNA
H3P33,False,True,False,1,,1008.0,ENSG00000255492,PROCESSED_PSEUDOGENE
H3P6,True,False,False,1,351.0,,ENSG00000235655,PROCESSED_PSEUDOGENE
HAND2-AS1,True,False,False,1,1792.0,,ENSG00000237125,LNCRNA
HCG18,True,True,False,2,2052.0,4618.0,"ENSG00000224619,ENSG00000224705,ENSG00000228894,ENSG00000230660,ENSG00000231074,ENSG00000234893,ENSG00000235727",LNCRNA
HCP5,True,False,False,1,2205.0,,"ENSG00000206337,ENSG00000227429,ENSG00000230389,ENSG00000237105",LNCRNA
HECW1-IT1,False,True,False,1,,519.0,ENSG00000181211,LNCRNA
HELLPAR,False,True,False,1,,281.0,ENSG00000281344,LNCRNA
HERC2P2,True,False,False,1,1948.0,,"ENSG00000276550,ENSG00000280787",TRANSCRIBED_UNPROCESSED_PSEUDOGENE
HEXD-IT1,False,True,False,1,,1022.0,ENSG00000279066,LNCRNA
HHIP-AS1,True,False,False,1,2865.0,,ENSG00000248890,LNCRNA
HLA-DRB3,True,False,False,1,4362.0,,"ENSG00000196101,ENSG00000230463,ENSG00000231679",PROTEIN_CODING
HLCS-AS1,False,True,False,1,,2003.0,ENSG00000224790,LNCRNA
HLCS-IT1,False,True,False,1,,2016.0,ENSG00000237646,LNCRNA
HMGB1P5,True,False,False,1,2792.0,,ENSG00000132967,TRANSCRIBED_PROCESSED_PSEUDOGENE
HMGB1P6,True,False,False,1,1165.0,,ENSG00000259781,PROCESSED_PSEUDOGENE
HMGN1P12,False,True,False,1,,3895.0,"ENSG00000247911,ENSG00000274138",PROCESSED_PSEUDOGENE
HMGN2P35,False,True,False,1,,3237.0,ENSG00000232875,PROCESSED_PSEUDOGENE
HNF4A-AS1,False,True,False,1,,2285.0,ENSG00000229005,LNCRNA
HNRNPA1P54,False,True,False,1,,3051.0,ENSG00000236539,PROCESSED_PSEUDOGENE
HNRNPA1P60,False,True,False,1,,4245.0,ENSG00000233497,PROCESSED_PSEUDOGENE
HNRNPA3P15,False,True,False,1,,1586.0,ENSG00000225636,PROCESSED_PSEUDOGENE
HNRNPKP4,False,True,False,1,,3414.0,ENSG00000243547,PROCESSED_PSEUDOGENE
HNRNPRP1,False,True,False,1,,1824.0,ENSG00000223984,PROCESSED_PSEUDOGENE
HOTAIRM1,True,False,False,1,4513.0,,ENSG00000233429,LNCRNA
HRG-AS1,False,True,False,1,,861.0,ENSG00000197099,LNCRNA
HSD17B1-AS1,True,False,False,1,4129.0,,ENSG00000266962,LNCRNA
HSDL2-AS1,False,True,False,1,,107.0,ENSG00000230185,LNCRNA
HSP90AA6P,False,True,False,1,,2647.0,ENSG00000181359,TRANSCRIBED_PROCESSED_PSEUDOGENE
HSPA7,True,False,False,1,2847.0,,ENSG00000225217,UNPROCESSED_PSEUDOGENE
HSPA8P1,False,True,False,1,,3567.0,ENSG00000234176,PROCESSED_PSEUDOGENE
HSPA8P5,False,True,False,1,,4397.0,ENSG00000256356,PROCESSED_PSEUDOGENE
HSPA8P8,False,True,False,1,,4853.0,ENSG00000229091,PROCESSED_PSEUDOGENE
HSPA9P1,False,True,False,1,,4749.0,ENSG00000226666,PROCESSED_PSEUDOGENE
HSPD1P8,False,True,False,1,,4884.0,ENSG00000215357,PROCESSED_PSEUDOGENE
HSPE1P11,False,True,False,1,,4788.0,ENSG00000187762,PROCESSED_PSEUDOGENE
HSPE1P13,False,True,False,1,,1317.0,ENSG00000225900,PROCESSED_PSEUDOGENE
